,m,b
0,5,2
1,2,2
2,2,2
3,2,2
4,3,2
5,13,2
6,2,2
7,3,2
8,3,4
9,7,2
10,2,3
11,4,2
12,2,2
13,5,3
14,10,2
15,3,2
16,2,2
17,2,2
18,6,2
19,2,2
20,2,2
21,2,6
22,4,6
23,2,2
24,6,3
25,2,2
26,2,3
27,5,3
28,2,2
29,2,2
