,entire,0,1,2
0,0.8870431893687708,0.8518518518518519,0.9302325581395349,0.9565217391304348
1,0.8970099667774086,0.9005524861878453,0.8297872340425532,0.9315068493150684
2,0.8737541528239202,0.8378378378378378,0.8918918918918919,0.9493670886075949
3,0.8305647840531561,0.8054054054054054,0.8409090909090909,0.8888888888888888
4,0.8604651162790697,0.819672131147541,0.868421052631579,0.95
5,0.8538205980066446,0.8241758241758241,0.918918918918919,0.8902439024390244
6,0.8372093023255814,0.7989130434782609,0.8260869565217391,0.9436619718309859
7,0.8438538205980066,0.8022598870056498,0.8157894736842105,0.9418604651162791
8,0.8239202657807309,0.797752808988764,0.9047619047619048,0.8395061728395061
9,0.8239202657807309,0.7880434782608695,0.85,0.8961038961038961
10,0.8903654485049833,0.8820224719101124,0.8627450980392157,0.9305555555555556
11,0.840531561461794,0.8255813953488372,0.825,0.8764044943820225
12,0.8239202657807309,0.8011049723756906,0.8536585365853658,0.8607594936708861
13,0.8305647840531561,0.8092783505154639,0.8095238095238095,0.9076923076923077
14,0.8205980066445183,0.7814207650273224,0.7894736842105263,0.925
15,0.8372093023255814,0.8342541436464088,0.7021276595744681,0.9315068493150684
16,0.8837209302325582,0.8418079096045198,0.9565217391304348,0.9358974358974359
17,0.8538205980066446,0.8369565217391305,0.8301886792452831,0.921875
18,0.8604651162790697,0.8074866310160428,0.9090909090909091,0.9714285714285714
19,0.8172757475083057,0.7954545454545454,0.8536585365853658,0.8452380952380952
20,0.8338870431893688,0.7925531914893617,0.8648648648648649,0.9210526315789473
21,0.8338870431893688,0.7978723404255319,0.8125,0.9259259259259259
22,0.7906976744186046,0.7514450867052023,0.8636363636363636,0.8333333333333334
23,0.8970099667774086,0.8763440860215054,0.918918918918919,0.9358974358974359
24,0.867109634551495,0.8540540540540541,0.775,0.9473684210526315
25,0.8837209302325582,0.8608247422680413,0.8809523809523809,0.9538461538461539
26,0.8604651162790697,0.8820224719101124,0.8048780487804879,0.8414634146341463
27,0.8073089700996677,0.7761194029850746,0.8055555555555556,0.90625
28,0.8438538205980066,0.7978723404255319,0.9148936170212766,0.9242424242424242
29,0.8538205980066446,0.8313953488372093,0.9090909090909091,0.8705882352941177
30,0.8239202657807309,0.8247422680412371,0.8085106382978723,0.8333333333333334
31,0.8471760797342193,0.8128654970760234,0.8409090909090909,0.9186046511627907
32,0.8704318936877077,0.8729281767955801,0.8333333333333334,0.8809523809523809
33,0.8538205980066446,0.8172043010752689,0.8571428571428571,0.9375
34,0.8471760797342193,0.8148148148148148,0.926829268292683,0.8873239436619719
35,0.8637873754152824,0.8303030303030303,0.86,0.9302325581395349
36,0.8770764119601329,0.8663101604278075,0.8695652173913043,0.9117647058823529
37,0.8737541528239202,0.875,0.8571428571428571,0.8783783783783784
38,0.8637873754152824,0.8411764705882353,0.851063829787234,0.9166666666666666
39,0.8604651162790697,0.8156424581005587,0.868421052631579,0.9523809523809523
40,0.867109634551495,0.8368421052631579,0.8947368421052632,0.9315068493150684
41,0.8372093023255814,0.8142076502732241,0.9069767441860465,0.8533333333333334
42,0.8538205980066446,0.8172043010752689,0.9393939393939394,0.9024390243902439
43,0.8571428571428571,0.8715083798882681,0.8723404255319149,0.8133333333333334
44,0.893687707641196,0.8641304347826086,0.95,0.935064935064935
45,0.8704318936877077,0.8478260869565217,0.925,0.8961038961038961
46,0.8504983388704319,0.8100558659217877,0.9142857142857143,0.9080459770114943
