,entire,marked_benign,unmarked_benign,marked_malignant,unmarked_malignant
0,0.8327868852459016,0.7916666666666666,0.8721804511278195,0.8953488372093024,0.6774193548387096
1,0.8557377049180328,0.7857142857142857,0.8926174496644296,0.8860759493670886,0.7346938775510204
2,0.8229508196721311,0.7647058823529411,0.8768115942028986,0.7916666666666666,0.7592592592592593
3,0.8,1.0,0.8134328358208955,0.8172043010752689,0.6666666666666666
4,0.839344262295082,0.85,0.8675496688741722,0.8620689655172413,0.7021276595744681
5,0.8590163934426229,0.5714285714285714,0.9090909090909091,0.8690476190476191,0.7735849056603774
6,0.8590163934426229,0.9285714285714286,0.9072847682119205,0.8690476190476191,0.6964285714285714
7,0.8295081967213115,0.5909090909090909,0.8682170542635659,0.88,0.7407407407407407
8,0.8098360655737705,0.75,0.813953488372093,0.9324324324324325,0.7051282051282052
9,0.8426229508196721,0.8421052631578947,0.8571428571428571,0.9024390243902439,0.7192982456140351
10,0.8131147540983606,1.0,0.82,0.782051282051282,0.8
11,0.8262295081967214,0.75,0.8639455782312925,0.8470588235294118,0.7169811320754716
12,0.7901639344262295,0.625,0.8413793103448276,0.872093023255814,0.5862068965517241
13,0.8032786885245902,0.9230769230769231,0.86,0.8674698795180723,0.5423728813559322
14,0.8590163934426229,0.625,0.8951612903225806,0.90625,0.8032786885245902
15,0.7967213114754098,0.7894736842105263,0.7951807228915663,0.84375,0.75
16,0.8426229508196721,0.9375,0.9071428571428571,0.875,0.6229508196721312
17,0.8229508196721311,0.6666666666666666,0.9242424242424242,0.7669902912621359,0.7346938775510204
18,0.8229508196721311,0.84,0.8098591549295775,0.8780487804878049,0.7678571428571429
19,0.8426229508196721,0.5625,0.8705035971223022,0.925,0.7571428571428571
20,0.8131147540983606,0.6470588235294118,0.8243243243243243,0.8837209302325582,0.7222222222222222
21,0.8360655737704918,0.9130434782608695,0.8652482269503546,0.8333333333333334,0.746031746031746
22,0.8557377049180328,0.8421052631578947,0.8791946308724832,0.8734177215189873,0.7758620689655172
23,0.8065573770491803,0.9285714285714286,0.8366013071895425,0.8170731707317073,0.6785714285714286
24,0.8262295081967214,0.7058823529411765,0.8376623376623377,0.8421052631578947,0.8103448275862069
25,0.8426229508196721,0.8636363636363636,0.8732394366197183,0.9390243902439024,0.6271186440677966
26,0.8229508196721311,0.7857142857142857,0.8432835820895522,0.8823529411764706,0.7222222222222222
27,0.8229508196721311,0.7083333333333334,0.8561151079136691,0.927710843373494,0.6440677966101694
28,0.8655737704918033,0.7407407407407407,0.8581560283687943,0.9382716049382716,0.8392857142857143
29,0.8065573770491803,0.782608695652174,0.8068965517241379,0.9036144578313253,0.6666666666666666
30,0.8295081967213115,0.7,0.8079470198675497,0.958904109589041,0.7704918032786885
31,0.8295081967213115,0.9285714285714286,0.8265895953757225,0.8823529411764706,0.74
32,0.8360655737704918,0.7647058823529411,0.86,0.8588235294117647,0.7547169811320755
33,0.8459016393442623,0.8928571428571429,0.8705035971223022,0.8414634146341463,0.7678571428571429
34,0.8622950819672132,0.7142857142857143,0.9,0.9156626506024096,0.7241379310344828
35,0.8163934426229508,0.782608695652174,0.8380281690140845,0.8045977011494253,0.7924528301886793
36,0.8229508196721311,0.8333333333333334,0.8321678321678322,0.8666666666666667,0.7083333333333334
37,0.8360655737704918,0.8235294117647058,0.8733333333333333,0.8241758241758241,0.7446808510638298
38,0.8229508196721311,0.8125,0.8445945945945946,0.8488372093023255,0.7272727272727273
39,0.8327868852459016,0.9,0.7943262411347518,0.9239130434782609,0.7142857142857143
40,0.7672131147540984,0.5454545454545454,0.8602941176470589,0.7888888888888889,0.5964912280701754
41,0.7737704918032787,0.75,0.8133333333333334,0.7976190476190477,0.6046511627906976
42,0.819672131147541,0.7647058823529411,0.8560606060606061,0.8602150537634409,0.6984126984126984
43,0.8295081967213115,0.6875,0.9337748344370861,0.725,0.7413793103448276
44,0.8360655737704918,0.65,0.8435374149659864,0.8953488372093024,0.7884615384615384
45,0.8655737704918033,0.6153846153846154,0.8880597014925373,0.9052631578947369,0.8095238095238095
46,0.8032786885245902,0.7333333333333333,0.8689655172413793,0.7916666666666666,0.6530612244897959
47,0.8360655737704918,0.8260869565217391,0.8785714285714286,0.7625,0.8387096774193549
48,0.8360655737704918,0.9130434782608695,0.8450704225352113,0.8333333333333334,0.7903225806451613
49,0.7901639344262295,0.6470588235294118,0.8382352941176471,0.8571428571428571,0.5925925925925926
